epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2119.16,0.71335,0.52317,0.9131,0.87591,0.90665,0.94702,0.79727,0.59807,0.43988,0.84007,0.000742625,0.000742625,0.000742625
43,2168.06,0.70828,0.51954,0.91431,0.88569,0.90635,0.95492,0.81005,0.56422,0.42169,0.83589,0.00073025,0.00073025,0.00073025
44,2216.22,0.70745,0.51196,0.9104,0.89587,0.90571,0.95362,0.8048,0.59189,0.42669,0.84009,0.000717875,0.000717875,0.000717875
45,2266.41,0.70892,0.51612,0.9109,0.88835,0.90506,0.95558,0.80802,0.56241,0.41698,0.8354,0.0007055,0.0007055,0.0007055
46,2314.85,0.70191,0.51203,0.90939,0.91346,0.90563,0.9597,0.81906,0.55034,0.39956,0.83271,0.000693125,0.000693125,0.000693125
47,2363.6,0.70114,0.5156,0.90947,0.90153,0.90109,0.95593,0.81694,0.54834,0.42792,0.83721,0.00068075,0.00068075,0.00068075
48,2410.99,0.69401,0.50975,0.90888,0.89309,0.90409,0.95142,0.81028,0.5693,0.41156,0.83492,0.000668375,0.000668375,0.000668375
49,2459.3,0.69323,0.50763,0.90789,0.88415,0.90705,0.95319,0.80567,0.58643,0.42677,0.83578,0.000656,0.000656,0.000656
50,2508.24,0.69156,0.50638,0.90742,0.91143,0.89638,0.95468,0.81115,0.5726,0.41129,0.83554,0.000643625,0.000643625,0.000643625
51,2556.86,0.689,0.50317,0.90779,0.8498,0.89467,0.93605,0.78893,0.58786,0.48967,0.83759,0.00063125,0.00063125,0.00063125
52,2605.3,0.69048,0.50162,0.90706,0.8996,0.90415,0.95212,0.81298,0.55389,0.40632,0.83444,0.000618875,0.000618875,0.000618875
53,2654.17,0.68355,0.49687,0.90292,0.91504,0.91235,0.96135,0.8182,0.55975,0.39163,0.8357,0.0006065,0.0006065,0.0006065
54,2702.79,0.68394,0.49463,0.90618,0.91083,0.90726,0.96058,0.81592,0.56712,0.40258,0.83619,0.000594125,0.000594125,0.000594125
55,2751.26,0.68587,0.49531,0.90546,0.90016,0.91316,0.95941,0.82307,0.54539,0.38486,0.83425,0.00058175,0.00058175,0.00058175
56,2800.31,0.68448,0.49014,0.90411,0.91378,0.91116,0.96222,0.82437,0.54372,0.38517,0.83125,0.000569375,0.000569375,0.000569375
57,2849.37,0.67859,0.48994,0.90344,0.90968,0.9195,0.96378,0.82607,0.53717,0.37968,0.83136,0.000557,0.000557,0.000557
58,2898.14,0.67363,0.48688,0.90244,0.9163,0.9054,0.96143,0.8219,0.55204,0.39484,0.83684,0.000544625,0.000544625,0.000544625
59,2947.52,0.6747,0.4895,0.90143,0.90113,0.90259,0.95685,0.81506,0.55805,0.40931,0.83562,0.00053225,0.00053225,0.00053225
60,2996.66,0.67336,0.48572,0.90224,0.90748,0.9145,0.96015,0.82015,0.5529,0.38202,0.83227,0.000519875,0.000519875,0.000519875
61,3045.68,0.67255,0.48497,0.90205,0.90395,0.91505,0.95782,0.81951,0.552,0.39361,0.83298,0.0005075,0.0005075,0.0005075
62,3094.13,0.67785,0.48592,0.90246,0.89922,0.91228,0.95866,0.82005,0.54746,0.3942,0.83251,0.000495125,0.000495125,0.000495125
63,3143.58,0.66917,0.47907,0.90031,0.91098,0.90771,0.95815,0.82339,0.53875,0.38527,0.83116,0.00048275,0.00048275,0.00048275
64,3191.87,0.66635,0.47706,0.90171,0.90313,0.9194,0.96183,0.82146,0.54694,0.38801,0.83158,0.000470375,0.000470375,0.000470375
65,3241.44,0.66637,0.47999,0.89952,0.90988,0.91565,0.96073,0.82598,0.54065,0.38036,0.83021,0.000458,0.000458,0.000458
66,3290.17,0.66283,0.47627,0.89951,0.92297,0.90542,0.96252,0.82923,0.53759,0.37487,0.83149,0.000445625,0.000445625,0.000445625
67,3338.77,0.6626,0.47526,0.89966,0.9098,0.90668,0.95651,0.82271,0.53441,0.38782,0.82928,0.00043325,0.00043325,0.00043325
68,3385.92,0.65462,0.46915,0.89567,0.91621,0.90564,0.95967,0.82599,0.53494,0.37734,0.83069,0.000420875,0.000420875,0.000420875
69,3435.96,0.6581,0.46928,0.89881,0.90225,0.91257,0.95993,0.82407,0.53824,0.38904,0.82969,0.0004085,0.0004085,0.0004085
70,3484.11,0.6555,0.4646,0.89536,0.90514,0.90956,0.95919,0.82278,0.53882,0.38312,0.82743,0.000396125,0.000396125,0.000396125
71,3532.24,0.65338,0.46565,0.8963,0.91043,0.90882,0.95865,0.82017,0.54851,0.38513,0.83073,0.00038375,0.00038375,0.00038375
72,3582.43,0.66052,0.46866,0.89586,0.91414,0.91643,0.96285,0.8291,0.52962,0.37776,0.82788,0.000371375,0.000371375,0.000371375
73,3631.8,0.65122,0.46178,0.89578,0.91313,0.91687,0.96303,0.83007,0.52864,0.37454,0.82658,0.000359,0.000359,0.000359
74,3680.66,0.64473,0.45793,0.89375,0.91684,0.91623,0.96369,0.82966,0.52428,0.37417,0.82702,0.000346625,0.000346625,0.000346625
75,3729.19,0.6502,0.4566,0.89545,0.9144,0.91417,0.9623,0.82891,0.53372,0.37796,0.82996,0.00033425,0.00033425,0.00033425
76,3777.54,0.64376,0.4538,0.89246,0.90707,0.91069,0.95834,0.82648,0.53249,0.38833,0.82853,0.000321875,0.000321875,0.000321875
77,3825.4,0.64087,0.45266,0.89105,0.91536,0.92251,0.96576,0.83295,0.52604,0.36491,0.8274,0.0003095,0.0003095,0.0003095
78,3874.1,0.6485,0.45724,0.89267,0.92555,0.91538,0.9649,0.83207,0.52832,0.36887,0.82741,0.000297125,0.000297125,0.000297125
79,3923.1,0.64058,0.45102,0.89205,0.93038,0.90929,0.96556,0.83343,0.52568,0.36642,0.82787,0.00028475,0.00028475,0.00028475
80,3972.21,0.64122,0.45038,0.89309,0.90876,0.91574,0.96147,0.8275,0.54021,0.38311,0.8291,0.000272375,0.000272375,0.000272375
81,4020.18,0.63655,0.44634,0.89018,0.90944,0.91904,0.96203,0.82992,0.52808,0.36999,0.82904,0.00026,0.00026,0.00026
82,4068.75,0.63571,0.44819,0.89071,0.92573,0.91589,0.96583,0.83332,0.52733,0.36056,0.8284,0.000247625,0.000247625,0.000247625
83,4118.61,0.63436,0.4478,0.89206,0.91933,0.91666,0.96574,0.83312,0.52806,0.35985,0.82835,0.00023525,0.00023525,0.00023525
84,4166.67,0.63302,0.44404,0.88909,0.92267,0.91056,0.96455,0.83312,0.52316,0.36492,0.82631,0.000222875,0.000222875,0.000222875
85,4215.1,0.62821,0.44048,0.88949,0.92403,0.9085,0.96379,0.82921,0.53238,0.37188,0.82805,0.0002105,0.0002105,0.0002105
86,4264.87,0.62772,0.44046,0.88727,0.91698,0.91383,0.96346,0.83172,0.52433,0.3705,0.82516,0.000198125,0.000198125,0.000198125
87,4312.68,0.62961,0.43778,0.88858,0.91418,0.91579,0.96402,0.83349,0.51935,0.36685,0.82555,0.00018575,0.00018575,0.00018575
88,4361.36,0.6296,0.43968,0.88804,0.91446,0.91263,0.96152,0.8324,0.52237,0.37451,0.82616,0.000173375,0.000173375,0.000173375
89,4409.41,0.62451,0.43623,0.88678,0.91505,0.91542,0.96343,0.83467,0.51898,0.36349,0.82661,0.000161,0.000161,0.000161
90,4458.29,0.62563,0.43796,0.8887,0.91374,0.92348,0.96474,0.83594,0.51888,0.36084,0.82615,0.000148625,0.000148625,0.000148625
91,4524.64,0.57562,0.40025,0.8599,0.91853,0.91463,0.96564,0.83296,0.52273,0.36186,0.82702,0.00013625,0.00013625,0.00013625
92,4571.96,0.56449,0.37376,0.8566,0.91336,0.92011,0.96269,0.8321,0.52136,0.36462,0.82661,0.000123875,0.000123875,0.000123875
93,4618.86,0.55858,0.37117,0.85513,0.91874,0.91644,0.965,0.83574,0.51929,0.36052,0.82477,0.0001115,0.0001115,0.0001115
94,4665.56,0.55495,0.36841,0.85493,0.91324,0.92248,0.96403,0.83484,0.51751,0.36239,0.82451,9.9125e-05,9.9125e-05,9.9125e-05
95,4711.45,0.55528,0.36577,0.85382,0.91472,0.92257,0.96569,0.83775,0.51277,0.3552,0.82459,8.675e-05,8.675e-05,8.675e-05
96,4758.2,0.55247,0.36634,0.85321,0.91178,0.92262,0.96355,0.83468,0.51708,0.36332,0.82482,7.4375e-05,7.4375e-05,7.4375e-05
97,4804.88,0.5471,0.35923,0.85029,0.92159,0.91517,0.96532,0.83631,0.51374,0.35749,0.82502,6.2e-05,6.2e-05,6.2e-05
98,4850.64,0.54496,0.35672,0.85214,0.92335,0.91287,0.9648,0.83656,0.51159,0.35668,0.82384,4.9625e-05,4.9625e-05,4.9625e-05
99,4897.72,0.54654,0.35709,0.85066,0.91595,0.92245,0.96514,0.83739,0.51275,0.35578,0.82406,3.725e-05,3.725e-05,3.725e-05
100,4943.89,0.54398,0.35602,0.85113,0.91955,0.91945,0.96513,0.83778,0.51313,0.35546,0.82425,2.4875e-05,2.4875e-05,2.4875e-05
